filter_rpm_mean,w
36.190666666666665,7760
43.11703703703703,7800
1.9143333333333337,8000
3.3311111111111114,8200
5.235757575757576,8400
4.870666666666666,8600
8.658333333333331,8800
11.266666666666667,9000
10.806333333333333,9200
12.387333333333332,9400
13.801333333333332,9600
14.616000000000001,9800
16.057666666666663,10000
17.358484848484846,10200
18.678181818181823,10400
19.95,10600
21.309666666666665,10800
22.417777777777776,11000
24.318518518518513,11200
25.50466666666666,11400
26.955185185185183,11600
27.622333333333323,11800
34.07757575757576,12000
38.84233333333332,12200
42.980000000000004,12400
48.76481481481482,12600
51.036969696969706,12800
55.68266666666667,13000
56.7496666666667,13200
54.86181818181818,13400
58.63592592592592,13600
60.46481481481481,13800
62.78866666666668,14000
64.44566666666667,14200
67.33200000000001,14400
67.9869696969697,14600
69.109,14800
71.86690476190476,15000
74.06102564102564,15200
74.31238095238093,15400
75.30071428571428,15600
77.88384615384612,15800
80.07222222222224,16000
81.93044444444442,16200
82.34928571428571,16400
84.02820512820516,16600
85.70088888888891,16800
86.35690476190476,17000
88.452,17200
86.02619047619048,17400
82.48642857142859,17600
80.03128205128208,17800
73.6652380952381,18000
74.90071428571429,18200
75.43777777777777,18400
78.00155555555556,18600
76.12622222222222,18800
75.54738095238098,19000
74.74076923076923,19200
102.74666666666667,19400
105.662,19600
105.36833333333334,19800
106.86266666666666,20000
108.87333333333335,20200
109.12333333333335,20400
109.1322222222222,20600
112.58916666666666,20800
111.93,21000
113.42333333333332,21200
115.2622222222222,21400
116.26933333333334,21600
116.354,21800
117.9122222222222,22000
118.52333333333334,22200
118.66416666666667,22400
120.6,22600
121.98833333333334,22800
122.828,23000
122.47555555555557,23200
124.30733333333332,23400
125.565,23600
126.4875,23800
127.77666666666666,24000
128.06666666666672,24200
128.8825,24400
130.63583333333335,24600
130.87777777777777,24800
131.74666666666667,25000
133.04416666666665,25200
133.21166666666667,25400
133.82666666666665,25600
135.33222222222224,25800
135.12833333333336,26000
136.19083333333333,26200
138.15333333333334,26400
137.1641666666667,26600
138.59666666666666,26800
140.14933333333332,27000
141.04916666666665,27200
141.47833333333332,27400
141.45833333333334,27600
141.95916666666665,27800
143.6475,28000
143.88166666666663,28200
144.1425,28400
143.98555555555555,28600
144.56133333333335,28800
146.42933333333335,29000
146.37555555555554,29200
147.5566666666667,29400
148.1353333333333,29600
148.7511111111111,29800
149.64416666666668,30000
150.13066666666666,30200
150.5977777777778,30400
150.89333333333335,30600
151.49333333333334,30800
152.8833333333333,31000
153.7733333333333,31200
153.9375,31400
154.53666666666666,31600
153.91066666666666,31800
155.10666666666665,32000
156.35333333333335,32200
155.59111111111108,32400
155.96333333333334,32600
156.0811111111111,32800
157.4077777777778,33000
157.83733333333333,33200
157.1675,33400
157.5055555555556,33600
158.03916666666666,33800
158.436,34000
158.4041666666667,34200
158.48199999999997,34400
158.5344444444444,34600
159.3788888888889,34800
160.965,35000
160.8175,35200
160.99333333333334,35400
162.1525,35600
162.57000000000002,35800
163.36749999999998,36000
163.91866666666667,36200
165.31599999999997,36400
165.13277777777776,36600
164.70000000000002,36800
167.08916666666667,37000
167.014,37200
167.7894444444444,37400
167.15,37600
168.51666666666665,37800
168.3675,38000
169.03416666666666,38200
170.03666666666666,38400
169.86533333333333,38600
170.26000000000002,38800
169.58333333333334,39000
170.60083333333333,39200
170.9433333333333,39400
170.26416666666665,39600
171.36333333333334,39800
171.67999999999998,40000
171.58333333333334,40200
172.52666666666667,40400
172.28166666666667,40600
173.16166666666672,40800
172.22833333333335,41000
172.51916666666668,41200
173.15416666666667,41400
173.3225,41600
175.29555555555555,41800
174.4375,42000
174.98133333333334,42200
175.5958333333333,42400
175.25499999999997,42600
176.28333333333336,42800
176.4941666666667,43000
176.61749999999998,43200
177.62916666666663,43400
178.0426666666667,43600
178.08888888888885,43800
178.248,44000
178.07333333333332,44200
179.56833333333336,44400
179.35999999999999,44600
179.86833333333334,44800
180.4722222222222,45000
180.00083333333336,45200
180.5088888888889,45400
180.58333333333334,45600
180.71416666666667,45800
181.28750000000002,46000
181.1625,46200
181.60666666666668,46400
181.47333333333333,46600
181.37750000000005,46800
182.11,47000
182.535,47200
183.19,47400
182.6677777777778,47600
183.18555555555554,47800
183.63166666666666,48000
183.54333333333335,48200
184.19499999999996,48400
184.16583333333335,48600
185.2591666666667,48800
185.165,49000
184.64333333333332,49200
185.292,49400
185.65222222222224,49600
185.56583333333333,49800
187.14444444444445,50000
184.94833333333335,50200
187.225,50400
188.525,50600
185.76833333333332,50800
188.50333333333333,51000
188.73166666666665,51200
190.38333333333333,51400
188.71222222222224,51600
186.84,51800
188.02,52000
188.20999999999998,52200
189.33333333333334,52400
188.47,52600
188.87,52800
189.5,53000
189.67499999999998,53200
189.09500000000003,53400
189.61333333333334,53600
188.6783333333333,53800
189.77499999999998,54000
189.53166666666667,54200
189.57666666666668,54400
189.47555555555553,54600
190.07111111111112,54800
191.37166666666667,55000
191.17444444444445,55200
190.31777777777776,55400
191.5211111111111,55600
192.86111111111111,55800
192.2422222222222,56000
191.13222222222223,56200
190.975,56400
192.08833333333334,56600
193.23000000000002,56800
193.34666666666666,57000
193.59,57200
195.45000000000002,57400
192.47,57600
193.58333333333334,57800
192.40222222222224,58000
192.55777777777777,58200
192.66444444444446,58400
193.09333333333333,58600
193.01999999999998,58800
194.28,59000
194.5,59200
194.905,59400
195.285,59600
194.60333333333335,59800
198.0466666666667,60000
195.56,60200
195.375,60400
199.57666666666663,60600
196.65,60800
195.17,61000
197.3416666666667,61200
195.795,61400
197.52333333333334,61600
196.5533333333333,61800
196.65666666666667,62000
197.04666666666665,62200
198.23166666666665,62400
197.53333333333333,62600
196.34500000000003,62800
199.13,63000
198.18666666666664,63200
198.35500000000002,63400
198.81666666666666,63600
197.90166666666667,63800
198.5,64000
198.92222222222225,64200
198.99,64400
201.9283333333333,64600
199.09,64800
201.5833333333333,65000
201.18999999999997,65200
204.245,65400
